5 5 1.000000 1.000000
1 1 itype_index_1932_0153_1930_0000.dat
1 2 itype_index_1932_0153_1931_0000.dat
1 3 itype_index_1932_0153_1932_0000.dat
1 4 itype_index_1932_0153_1933_0000.dat
1 5 itype_index_1932_0153_1934_0000.dat
2 1 itype_index_1932_0152_1930_0000.dat
2 2 itype_index_1932_0152_1931_0000.dat
2 3 itype_index_1932_0152_1932_0000.dat
2 4 itype_index_1932_0152_1933_0000.dat
2 5 itype_index_1932_0152_1934_0000.dat
3 1 itype_index_1932_0151_1930_0000.dat
3 2 itype_index_1932_0151_1931_0000.dat
3 3 itype_index_1932_0151_1932_0000.dat
3 4 itype_index_1932_0151_1933_0000.dat
3 5 itype_index_1932_0151_1934_0000.dat
4 1 itype_index_1932_0150_1930_0000.dat
4 2 itype_index_1932_0150_1931_0000.dat
4 3 itype_index_1932_0150_1932_0000.dat
4 4 itype_index_1932_0150_1933_0000.dat
4 5 itype_index_1932_0150_1934_0000.dat
5 1 itype_index_1932_0149_1930_0000.dat
5 2 itype_index_1932_0149_1931_0000.dat
5 3 itype_index_1932_0149_1932_0000.dat
5 4 itype_index_1932_0149_1933_0000.dat
5 5 itype_index_1932_0149_1934_0000.dat
